,SupplierUniqueCatalogueNumber,BrandName,Generic,Manufacturer,Description,Dosage,Form,PackSize,PackSizeUnits,ProductType,RequiresRx,TaxName,IsTaxExempt,IsTaxIncluded,TaxPercent,PricePerPackage,CatalogTag,Status,PointsAccumulation
We will create this,1MGE0000001,Ecosprin 75 Tablet,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,4.86,,Available,1
,1MGE0000002,Omnacortil 5 Tablet DT,,Macleods Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,6.27,,Available,1
,1MGE0000003,Glynase Tablet,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,7.38,,Available,1
,1MGE0000004,Famocid 40 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,8,,Available,1
,1MGE0000005,Amifru 40 Tablet,,Torrent Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,8.55,,Available,1
,1MGE0000006,Zentel Tablet,,Glaxo SmithKline Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,8.58,,Available,1
,1MGE0000007,Ecosprin 150 Tablet,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,8.79,,Available,1
,1MGE0000008,Aquazide 12.5 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,10.92,,Available,1
,1MGE0000009,Wysolone 5 Tablet DT,,Pfizer Ltd,,,,,,medication,No,GST,No,Yes,0,11.43,,Available,1
,1MGE0000010,Lasix Tablet,,Sanofi India  Ltd,,,,,,medication,No,GST,No,Yes,0,12.6,,Available,1
,1MGE0000011,Glycomet 250 Tablet,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,13,,Available,1
,1MGE0000012,Amlokind 5 Tablet,,Mankind Pharma Ltd,,,,,,medication,No,GST,No,Yes,0,13.27,,Available,1
,1MGE0000013,Lanoxin Tablet,,Glaxo SmithKline Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,13.28,,Available,1
,1MGE0000014,Parkin Tablet,,Micro Labs Ltd,,,,,,medication,No,GST,No,Yes,0,13.55,,Available,1
,1MGE0000015,Bexol Tablet,,Intas Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,13.55,,Available,1
,1MGE0000016,Amodep 5 Tablet,,FDC Ltd,,,,,,medication,No,GST,No,Yes,0,14.44,,Available,1
,1MGE0000017,Tegrital 200 Tablet,,Novartis India Ltd,,,,,,medication,No,GST,No,Yes,0,15.48,,Available,1
,1MGE0000018,Lithosun 300 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,16.22,,Available,1
,1MGE0000019,Glycomet Tablet,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,16.8,,Available,1
,1MGE0000020,Glynase-MF Tablet,,USV Ltd,,,,,,medication,No,GST,No,Yes,0,16.85,,Available,1
,1MGE0000021,Ciplox Eye/Ear Drops,,Cipla Ltd,,,,,,medication,No,GST,No,Yes,0,16.96,,Available,1
,1MGE0000022,Syndopa 110 Tablet,,Sun Pharmaceutical Industries Ltd,,,,,,medication,No,GST,No,Yes,0,17.31,,Available,1
,1MGE0000023,Cetzine Tablet,,Dr Reddy's Laboratories Ltd,,,,,,medication,No,GST,No,Yes,0,18.37,,Available,1
,1MGE0000024,Okacet Tablet,,Cipla Ltd,,,,,,medication,No,GST,No,Yes,0,18.41,,Available,1
,1MGE0000025,Inderal 10 Tablet,,Abbott,,,,,,medication,No,GST,No,Yes,0,19.27,,Available,1
,1MGE0000026,Ciplar 10 Tablet,,Cipla Ltd,,,,,,medication,No,GST,No,Yes,0,19.28,,Available,1
,1MGE0000027,Carbophage XR 500 Tablet,,Merck Ltd,,,,,,medication,No,GST,No,Yes,0,19.96,,Available,1
,1MGE0000028,Trinicalm Plus Tablet,,Torrent Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,20.25,,Available,1
,1MGE0000029,Wysolone 10 Tablet DT,,Pfizer Ltd,,,,,,medication,No,GST,No,Yes,0,20.72,,Available,1
,1MGE0000030,Zyloric Tablet,,Glaxo SmithKline Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,21.15,,Available,1
,1MGE0000031,Glyciphage SR 500mg Tablet,,Franco-Indian Pharmaceuticals Pvt Ltd,,,,,,medication,No,GST,No,Yes,0,21.2,,Available,1
,1MGE0000032,Metrogyl 400 Tablet,,J B Chemicals and Pharmaceuticals Ltd,,,,,,medication,No,GST,No,Yes,0,21.39,,Available,1
